id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,House Address,sqft_living15,sqft_lot15
7129300520,10/13/2014,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,"10012 61st Ave S, Seattle, WA 98178, USA",1340,5650
6414100192,12/09/14,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,"837 NE 127th St, Seattle, WA 98125, USA",1690,7639
5631500400,2/25/2015,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,"15109 81st Ave NE, Kenmore, WA 98028, USA",2720,8062
2487200875,12/09/14,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,"9236 Fauntleroy Way SW, Seattle, WA 98136, USA",1360,5000
1954400510,2/18/2015,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,"901 221st Ave NE, Sammamish, WA 98074, USA",1800,7503
7237550310,05/12/14,1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,"25005 NE Patterson Way, Redmond, WA 98053, USA",4760,101930
1321400060,6/27/2014,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,"533 S 330th Pl, Federal Way, WA 98003, USA",2238,6819
2008000270,1/15/2015,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,"21421 14th Ave S, Des Moines, WA 98198, USA",1650,9711
2414600126,4/15/2015,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,"136 SW 102nd St, Seattle, WA 98146, USA",1780,8113
3793500160,03/12/15,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,"26007 232nd Pl SE, Maple Valley, WA 98038, USA",2390,7570
1736800520,04/03/15,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,"1017 146th Ave SE, Bellevue, WA 98007, USA",2210,8925
9212900260,5/27/2014,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,"3169 NE 85th St, Seattle, WA 98115, USA",1330,6000
114101516,5/28/2014,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,"8308 NE 176th Pl, Kenmore, WA 98028, USA",1780,12697
6054650070,10/07/14,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,"22110 NE 3rd Pl, Sammamish, WA 98074, USA",1370,10208
1175000570,03/12/15,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,"2825 NW 57th St, Seattle, WA 98107, USA",1360,4850
9297300055,1/24/2015,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,"3404 SW Manning St, Seattle, WA 98126, USA",2140,4000
1875500060,7/31/2014,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,"28232 NE 141st Pl, Duvall, WA 98019, USA",1890,14018
6865200140,5/29/2014,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,"1215 N 50th St, Seattle, WA 98103, USA",1610,4300
16000397,12/05/14,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,"19 Pike St NE, Auburn, WA 98002, USA",1060,5095
7983200060,4/24/2015,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,"2038 S 299th St, Federal Way, WA 98003, USA",1280,8850
6300500875,5/14/2014,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,"10037 Interlake Ave N, Seattle, WA 98133, USA",1400,4980
2524049179,8/26/2014,2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,"7814 79th Ave SE, Mercer Island, WA 98040, USA",4110,20336
7137970340,07/03/14,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,"12840 SE 307th Pl, Auburn, WA 98092, USA",2240,7005
8091400200,5/16/2014,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,"13105 SE 277th Pl, Kent, WA 98030, USA",1220,8386
3814700200,11/20/2014,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,"12715 SE 254th Ct, Kent, WA 98030, USA",2200,6865
1202000200,11/03/14,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,"316 I St SE, Auburn, WA 98002, USA",1030,4705
1794500383,6/26/2014,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,"206 W Boston St, Seattle, WA 98119, USA",1760,3573
